은행코드,은행명,상품코드,상품명,상품일련번호,계약기간개월수_최소구간,계약기간개월수_최대구간,가입금액_최소구간,가입금액_최대구간,통장거치식_신규가입금액_단위,적립식_월부금_단위,상품개요_설명,신규채널,해지채널,상품그룹코드,상품그룹명,예금입출금방식,만기여부,이자지급방법,이자계산방법,적립식_부금납입방식,적립식_부금납입주기,적립식_부금금액한도_여부,적립식_부금금액한도_조건,가입대상고객_조건여부,가입대상고객_조건,가입제한_조건여부,가입제한_조건,기본금리,예금자보호대상여부,판매한도금액,만기후이율,중도해지이율,세제혜택_비과세종합저축_여부,세제혜택_비과세종합저축_조건,회전식_정기예금_여부,회전식_정기예금_회전주기_개월수,기타_상품가입_고려사항,추가내용,우대금리조건여부,우대금리조건_개수,최대우대금리,우대금리조건_고객예금실적_여부,우대금리조건_고객예금실적_조건,우대금리조건_고객예금실적_우대금리,우대금리조건_우수고객우대제도_여부,우대금리조건_우수고객우대제도_조건,우대금리조건_우수고객우대제도_우대금리,우대금리조건_가입금액우대_여부,우대금리조건_가입금액우대_조건,우대금리조건_가입금액우대_우대금리,우대금리조건_아파트관리비이체_여부,우대금리조건_아파트관리비이체_조건,우대금리조건_아파트관리비이체_우대금리,우대금리조건_공과금이체_여부,우대금리조건_공과금이체_조건,우대금리조건_공과금이체_우대금리,우대금리조건_급여이체_여부,우대금리조건_급여이체_조건,우대금리조건_급여이체_우대금리,우대금리조건_예금자동이체_여부,우대금리조건_예금자동이체_여부_조건,우대금리조건_예금자동이체_우대금리,우대금리조건_보험료자동이체_여부,우대금리조건_보험료자동이체_여부_조건,우대금리조건_보험료자동이체_우대금리,우대금리조건_연금자동이체_여부,우대금리조건_연금자동이체_여부_조건,우대금리조건_연금자동이체_우대금리,우대금리조건_신용카드가맹점결제계좌_여부,우대금리조건_신용카드가맹점결제계좌_조건,우대금리조건_신용카드가맹점결제계좌_우대금리,우대금리조건_신용카드결제계좌_여부,우대금리조건_신용카드결제계좌_조건,우대금리조건_신용카드결제계좌_우대금리,우대금리조건_신용카드사용금액_여부,우대금리조건_신용카드사용금액_조건,우대금리조건_신용카드사용금액_우대금리,우대금리조건_체크카드연계_여부,우대금리조건_체크카드연계_조건,우대금리조건_체크카드연계_우대금리,우대금리조건_제휴카드연계_여부,우대금리조건_제휴카드연계_조건,우대금리조건_제휴카드연계_우대금리,우대금리조건_재유치_여부,우대금리조건_재유치_조건,우대금리조건_재유치_우대금리,우대금리조건_카드사용실적_여부,우대금리조건_카드사용실적_조건,우대금리조건_카드사용실적_우대금리,우대금리조건_퇴직금예치_여부,우대금리조건_퇴직금예치_조건,우대금리조건_퇴직금예치_우대금리,우대금리조건_고객특성우대_여부,우대금리조건_고객특성우대_조건,우대금리조건_고객특성우대_우대금리,우대금리조건_장병우대_여부,우대금리조건_장병우대_조건,우대금리조건_장병우대_우대금리,우대금리조건_농어민우대_여부,우대금리조건_농어민우대_조건,우대금리조건_농어민우대_우대금리,우대금리조건_어린이우대_여부,우대금리조건_어린이우대_조건,우대금리조건_어린이우대_우대금리,우대금리조건_학생우대_여부,우대금리조건_학생우대_조건,우대금리조건_학생우대_우대금리,우대금리조건_첫거래우대_여부,우대금리조건_첫거래우대_조건,우대금리조건_첫거래우대_우대금리,우대금리조건_고객연령우대_여부,우대금리조건_고객연령우대_조건,우대금리조건_고객연령우대_우대금리,우대금리조건_비대면채널_여부,우대금리조건_비대면채널_조건,우대금리조건_비대면채널_우대금리,우대금리조건_인터넷뱅킹_여부,우대금리조건_인터넷뱅킹_조건,우대금리조건_인터넷뱅킹_우대금리,우대금리조건_모바일뱅킹_여부,우대금리조건_모바일뱅킹_조건,우대금리조건_모바일뱅킹_우대금리,우대금리조건_모바일앱_여부,우대금리조건_모바일앱_조건,우대금리조건_모바일앱_우대금리,우대금리조건_오픈뱅킹_여부,우대금리조건_오픈뱅킹_조건,우대금리조건_오픈뱅킹_우대금리,우대금리조건_마이데이터_여부,우대금리조건_마이데이터_조건,우대금리조건_마이데이터_우대금리,우대금리조건_상품미보유_여부,우대금리조건_상품미보유_조건,우대금리조건_상품미보유_우대금리,우대금리조건_만기금액우대_여부,우대금리조건_만기금액우대_조건,우대금리조건_만기금액우대_우대금리,우대금리조건_마케팅활용동의_여부,우대금리조건_마케팅활용동의_조건,우대금리조건_마케팅활용동의_우대금리,우대금리조건_위치인증_여부,우대금리조건_위치인증_조건,우대금리조건_위치인증_우대금리,우대금리조건_기타1_여부,우대금리조건_기타1_조건,우대금리조건_기타1_우대금리,우대금리조건_기타2_여부,우대금리조건_기타2_조건,우대금리조건_기타2_우대금리,우대금리조건_기타3_여부,우대금리조건_기타3_조건,우대금리조건_기타3_우대금리,우대금리조건_기타4_여부,우대금리조건_기타4_조건,우대금리조건_기타4_우대금리,우대금리조건_기타5_여부,우대금리조건_기타5_조건,우대금리조건_기타5_우대금리
A05,OK저축은행,A05-00013,ISA정기예금,4,24개월 이상,36개월 이하,1만원 이상,제한없음,1만원 이상,제한없음,개인종합자산관리계좌(ISA)에 편입되는 금융상품 포트폴리오를 위한 전용 정기예금 상품,1:영업점,1:영업점,1,은행수신상품,2:거치식(목돈운용),만기 있음,1:만기일시 지급식,2:복리,,,,,있음,「조세특례제한법」에 따라 ISA(개인종합자산관리계좌)를 취급하는 금융회사,없음,,2.0,Y,,계약기간 만료로 재예치 시점의 계약기간별 약정이율을 적용,"1개월미만 :0.5%
1개월이상~3개월미만: 신규시점 약정이율X50%X보유기간/계약기간
3개월이상~6개월미만: 신규시점 약정이율X55%X보유기간/계약기간
6개월이상~9개월미만: 신규시점 약정이율X60%X보유기간/계약기간
9개월이상~12개월미만: 신규시점 약정이율X65%X보유기간/계약기간
12개월이상~36개월미만: 신규시점 약정이율X70%X보유기간/계약기간",N,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A18,유안타저축은행,A18-00019,기업자유예금,1,제한없음,제한없음,제한없음,제한없음,제한없음,제한없음,일시적 여유자금 보관목적의 입금 및 출금이 자유로운 상품,1:영업점,1:영업점,1,은행수신상품,1:자유입출식(통장식),만기 없음,3:결산주기별 이자지급(자유입출식),1:단리,,,,,있음,법인 및 개인사업자,없음,,0.5,Y,,,,N,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A05,OK저축은행,A05-00014,OK e-100만원만들기적금,1,12개월,12개월,제한없음,제한없음,제한없음,82000원,"매월 82,000원씩 12번을 모아 세후 100만 원 (우대금리 포함, 정상납입 기준)을 만드는 정기적금",3:스마트뱅킹,"1:영업점, 3:스마트뱅킹, 7:계좌이체",1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,1:정액적립식,1:매월납부,있음,월 82000원,있음,실명의개인,없음,,2.6,Y,,"만기 후 1개월 이하 : 신규가입일 당시 약정이율과 만기일 현재 고시이율 중 낮은 이율
만기 후 1개월 초과 : 현행 보통예금 금리","1개월 미만 : 0.1
1개월 이상 ~ 3개월 미만 : 약정이율X20%
3개월 이상 ~ 6개월 미만 : 약정이율X40%
6개월 이상 ~ 9개월 미만 : 약정이율X60%
9개월 이상 ~ 12개월 미만 : 약정이율X70%",Y,전금융기관 통합한도 내,,,,,Y,1.0,1.0,,,,,,,,,,,,,,,,,,,Y,Y,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A05,OK저축은행,A05-00015,OK정기적금,1,12개월 이상,36개월 이하,제한없음,제한없음,제한없음,1만원 이상,매월 일정 금액을 적립하여 목돈을 만드는 상품,"1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹, 7:계좌이체",1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,1:정액적립식,1:매월납부,없음,,있음,"실명의개인, 법인",없음,,2.5,Y,,"만기 후 1개월 이하 : 신규가입일 당시 약정이율과 만기일 현재 고시이율 중 낮은 이율
만기 후 1개월 초과 : 0.1","1개월 미만 : 0.1
1개월 이상 ~ 3개월 미만 : 약정이율X20%
3개월 이상 ~ 6개월 미만 : 약정이율X40%
6개월 이상 ~ 9개월 미만 : 약정이율X60%
9개월 이상 ~ 12개월 미만 : 약정이율X70%
12개월 이상 ~ 36개월 미만 : 약정이율X80%",Y,전금융기관 통합한도 내,,,,,Y,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,인터넷/모바일뱅킹 가입,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A18,유안타저축은행,A18-00001,정기예금(단리식),1,1개월 이상,3개월 미만,10만원 이상,제한없음,10만원 이상,제한없음,"일정금액을 일정기간을 정하여 저축은행에 예치하고, 월단위 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (창구 전용상품)",1:영업점,"1:영업점, 7:계좌이체",1,은행수신상품,2:거치식(목돈운용),만기 있음,2:월이자 지급식,1:단리,,,,,없음,,없음,,2.0,Y,,"만기 후 1개월 이하 : 약정금리와 현행금리 중 낮은 금리
만기 후 1개월 초과 : 현행 보통예금 금리","1)1개월 미만 경과분 : 약정당시의 보통예금 금리
2)1개월 이상 ~ 3개월 미만 경과분 : 약정금리의 50%
3)3개월 이상 ~ 6개월 미만 경과분 : 약정금리의 50%
4)6개월 이상 ~ 24개월 미만 경과분 : 약정금리의 50%
5)24개월 이상 ~ 36개월 미만 경과분 : 약정금리의 50%",Y,"전 금융기관 합산하여 1인당 5,000만원 이내",,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A18,유안타저축은행,A18-00001,정기예금(단리식),2,3개월 이상,6개월 미만,10만원 이상,제한없음,10만원 이상,제한없음,"일정금액을 일정기간을 정하여 저축은행에 예치하고, 월단위 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (창구 전용상품)",1:영업점,"1:영업점, 7:계좌이체",1,은행수신상품,2:거치식(목돈운용),만기 있음,2:월이자 지급식,1:단리,,,,,없음,,없음,,2.5,Y,,"만기 후 1개월 이하 : 약정금리와 현행금리 중 낮은 금리
만기 후 1개월 초과 : 현행 보통예금 금리","1)1개월 미만 경과분 : 약정당시의 보통예금 금리
2)1개월 이상 ~ 3개월 미만 경과분 : 약정금리의 50%
3)3개월 이상 ~ 6개월 미만 경과분 : 약정금리의 50%
4)6개월 이상 ~ 24개월 미만 경과분 : 약정금리의 50%
5)24개월 이상 ~ 36개월 미만 경과분 : 약정금리의 50%",Y,"전 금융기관 합산하여 1인당 5,000만원 이내",,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A18,유안타저축은행,A18-00001,정기예금(단리식),3,6개월 이상,12개월 미만,10만원 이상,제한없음,10만원 이상,제한없음,"일정금액을 일정기간을 정하여 저축은행에 예치하고, 월단위 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (창구 전용상품)",1:영업점,"1:영업점, 7:계좌이체",1,은행수신상품,2:거치식(목돈운용),만기 있음,2:월이자 지급식,1:단리,,,,,없음,,없음,,3.2,Y,,"만기 후 1개월 이하 : 약정금리와 현행금리 중 낮은 금리
만기 후 1개월 초과 : 현행 보통예금 금리","1)1개월 미만 경과분 : 약정당시의 보통예금 금리
2)1개월 이상 ~ 3개월 미만 경과분 : 약정금리의 50%
3)3개월 이상 ~ 6개월 미만 경과분 : 약정금리의 50%
4)6개월 이상 ~ 24개월 미만 경과분 : 약정금리의 50%
5)24개월 이상 ~ 36개월 미만 경과분 : 약정금리의 50%",Y,"전 금융기관 합산하여 1인당 5,000만원 이내",,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A18,유안타저축은행,A18-00001,정기예금(단리식),4,12개월 이상,18개월 미만,10만원 이상,제한없음,10만원 이상,제한없음,"일정금액을 일정기간을 정하여 저축은행에 예치하고, 월단위 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (창구 전용상품)",1:영업점,"1:영업점, 7:계좌이체",1,은행수신상품,2:거치식(목돈운용),만기 있음,2:월이자 지급식,1:단리,,,,,없음,,없음,,4.35,Y,,"만기 후 1개월 이하 : 약정금리와 현행금리 중 낮은 금리
만기 후 1개월 초과 : 현행 보통예금 금리","1)1개월 미만 경과분 : 약정당시의 보통예금 금리
2)1개월 이상 ~ 3개월 미만 경과분 : 약정금리의 50%
3)3개월 이상 ~ 6개월 미만 경과분 : 약정금리의 50%
4)6개월 이상 ~ 24개월 미만 경과분 : 약정금리의 50%
5)24개월 이상 ~ 36개월 미만 경과분 : 약정금리의 50%",Y,"전 금융기관 합산하여 1인당 5,000만원 이내",,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A18,유안타저축은행,A18-00001,정기예금(단리식),5,18개월 이상,24개월 미만,10만원 이상,제한없음,10만원 이상,제한없음,"일정금액을 일정기간을 정하여 저축은행에 예치하고, 월단위 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (창구 전용상품)",1:영업점,"1:영업점, 7:계좌이체",1,은행수신상품,2:거치식(목돈운용),만기 있음,2:월이자 지급식,1:단리,,,,,없음,,없음,,4.2,Y,,"만기 후 1개월 이하 : 약정금리와 현행금리 중 낮은 금리
만기 후 1개월 초과 : 현행 보통예금 금리","1)1개월 미만 경과분 : 약정당시의 보통예금 금리
2)1개월 이상 ~ 3개월 미만 경과분 : 약정금리의 50%
3)3개월 이상 ~ 6개월 미만 경과분 : 약정금리의 50%
4)6개월 이상 ~ 24개월 미만 경과분 : 약정금리의 50%
5)24개월 이상 ~ 36개월 미만 경과분 : 약정금리의 50%",Y,"전 금융기관 합산하여 1인당 5,000만원 이내",,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A18,유안타저축은행,A18-00001,정기예금(단리식),6,24개월 이상,30개월 미만,10만원 이상,제한없음,10만원 이상,제한없음,"일정금액을 일정기간을 정하여 저축은행에 예치하고, 월단위 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (창구 전용상품)",1:영업점,"1:영업점, 7:계좌이체",1,은행수신상품,2:거치식(목돈운용),만기 있음,2:월이자 지급식,1:단리,,,,,없음,,없음,,4.05,Y,,"만기 후 1개월 이하 : 약정금리와 현행금리 중 낮은 금리
만기 후 1개월 초과 : 현행 보통예금 금리","1)1개월 미만 경과분 : 약정당시의 보통예금 금리
2)1개월 이상 ~ 3개월 미만 경과분 : 약정금리의 50%
3)3개월 이상 ~ 6개월 미만 경과분 : 약정금리의 50%
4)6개월 이상 ~ 24개월 미만 경과분 : 약정금리의 50%
5)24개월 이상 ~ 36개월 미만 경과분 : 약정금리의 50%",Y,"전 금융기관 합산하여 1인당 5,000만원 이내",,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A18,유안타저축은행,A18-00001,정기예금(단리식),7,30개월 이상,36개월 이하,10만원 이상,제한없음,10만원 이상,제한없음,"일정금액을 일정기간을 정하여 저축은행에 예치하고, 월단위 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (창구 전용상품)",1:영업점,"1:영업점, 7:계좌이체",1,은행수신상품,2:거치식(목돈운용),만기 있음,2:월이자 지급식,1:단리,,,,,없음,,없음,,3.75,Y,,"만기 후 1개월 이하 : 약정금리와 현행금리 중 낮은 금리
만기 후 1개월 초과 : 현행 보통예금 금리","1)1개월 미만 경과분 : 약정당시의 보통예금 금리
2)1개월 이상 ~ 3개월 미만 경과분 : 약정금리의 50%
3)3개월 이상 ~ 6개월 미만 경과분 : 약정금리의 50%
4)6개월 이상 ~ 24개월 미만 경과분 : 약정금리의 50%
5)24개월 이상 ~ 36개월 미만 경과분 : 약정금리의 50%",Y,"전 금융기관 합산하여 1인당 5,000만원 이내",,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A18,유안타저축은행,A18-00002,정기예금(복리식),1,1개월 이상,3개월 미만,10만원 이상,제한없음,10만원 이상,제한없음,"일정금액을 일정기간을 정하여 저축은행에 예치하고, 예치기간이 만료되었을 때 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (창구 전용상품)",1:영업점,"1:영업점, 7:계좌이체",1,은행수신상품,2:거치식(목돈운용),만기 있음,1:만기일시 지급식,2:복리,,,,,없음,,없음,,2.0,Y,,"만기 후 1개월 이하 : 약정금리와 현행금리 중 낮은 금리
만기 후 1개월 초과 : 현행 보통예금 금리","1)1개월 미만 경과분 : 약정당시의 보통예금 금리
2)1개월 이상 ~ 3개월 미만 경과분 : 약정금리의 50%
3)3개월 이상 ~ 6개월 미만 경과분 : 약정금리의 50%
4)6개월 이상 ~ 24개월 미만 경과분 : 약정금리의 50%
5)24개월 이상 ~ 36개월 미만 경과분 : 약정금리의 50%",Y,"전 금융기관 합산하여 1인당 5,000만원 이내",,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004,국민은행,004-00032,일반정기적금,2,12개월 이상,24개월 미만,제한없음,제한없음,제한없음,1만원 이상 1원 단위,매월 일정액을 납입하여 목돈을 마련하는 적립식예금,1:영업점,"1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹, 7:계좌이체",1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,1:정액적립식,1:매월납부,없음,,없음,,없음,,2.8,Y,,가입일 당시 고시한 만기후 이율,가입일 당시 고시한 중도해지 이율,Y,,,,,,Y,1.0,0.1,,,,,,,,,,,,,,,,,,,Y,Y,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A18,유안타저축은행,A18-00002,정기예금(복리식),2,3개월 이상,6개월 미만,10만원 이상,제한없음,10만원 이상,제한없음,"일정금액을 일정기간을 정하여 저축은행에 예치하고, 예치기간이 만료되었을 때 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (창구 전용상품)",1:영업점,"1:영업점, 7:계좌이체",1,은행수신상품,2:거치식(목돈운용),만기 있음,1:만기일시 지급식,2:복리,,,,,없음,,없음,,2.5,Y,,"만기 후 1개월 이하 : 약정금리와 현행금리 중 낮은 금리
만기 후 1개월 초과 : 현행 보통예금 금리","1)1개월 미만 경과분 : 약정당시의 보통예금 금리
2)1개월 이상 ~ 3개월 미만 경과분 : 약정금리의 50%
3)3개월 이상 ~ 6개월 미만 경과분 : 약정금리의 50%
4)6개월 이상 ~ 24개월 미만 경과분 : 약정금리의 50%
5)24개월 이상 ~ 36개월 미만 경과분 : 약정금리의 50%",Y,"전 금융기관 합산하여 1인당 5,000만원 이내",,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A18,유안타저축은행,A18-00002,정기예금(복리식),3,6개월 이상,12개월 미만,10만원 이상,제한없음,10만원 이상,제한없음,"일정금액을 일정기간을 정하여 저축은행에 예치하고, 예치기간이 만료되었을 때 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (창구 전용상품)",1:영업점,"1:영업점, 7:계좌이체",1,은행수신상품,2:거치식(목돈운용),만기 있음,1:만기일시 지급식,2:복리,,,,,없음,,없음,,3.2,Y,,"만기 후 1개월 이하 : 약정금리와 현행금리 중 낮은 금리
만기 후 1개월 초과 : 현행 보통예금 금리","1)1개월 미만 경과분 : 약정당시의 보통예금 금리
2)1개월 이상 ~ 3개월 미만 경과분 : 약정금리의 50%
3)3개월 이상 ~ 6개월 미만 경과분 : 약정금리의 50%
4)6개월 이상 ~ 24개월 미만 경과분 : 약정금리의 50%
5)24개월 이상 ~ 36개월 미만 경과분 : 약정금리의 50%",Y,"전 금융기관 합산하여 1인당 5,000만원 이내",,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A18,유안타저축은행,A18-00002,정기예금(복리식),4,12개월 이상,18개월 미만,10만원 이상,제한없음,10만원 이상,제한없음,"일정금액을 일정기간을 정하여 저축은행에 예치하고, 예치기간이 만료되었을 때 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (창구 전용상품)",1:영업점,"1:영업점, 7:계좌이체",1,은행수신상품,2:거치식(목돈운용),만기 있음,1:만기일시 지급식,2:복리,,,,,없음,,없음,,4.35,Y,,"만기 후 1개월 이하 : 약정금리와 현행금리 중 낮은 금리
만기 후 1개월 초과 : 현행 보통예금 금리","1)1개월 미만 경과분 : 약정당시의 보통예금 금리
2)1개월 이상 ~ 3개월 미만 경과분 : 약정금리의 50%
3)3개월 이상 ~ 6개월 미만 경과분 : 약정금리의 50%
4)6개월 이상 ~ 24개월 미만 경과분 : 약정금리의 50%
5)24개월 이상 ~ 36개월 미만 경과분 : 약정금리의 50%",Y,"전 금융기관 합산하여 1인당 5,000만원 이내",,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A18,유안타저축은행,A18-00002,정기예금(복리식),5,18개월 이상,24개월 미만,10만원 이상,제한없음,10만원 이상,제한없음,"일정금액을 일정기간을 정하여 저축은행에 예치하고, 예치기간이 만료되었을 때 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (창구 전용상품)",1:영업점,"1:영업점, 7:계좌이체",1,은행수신상품,2:거치식(목돈운용),만기 있음,1:만기일시 지급식,2:복리,,,,,없음,,없음,,4.2,Y,,"만기 후 1개월 이하 : 약정금리와 현행금리 중 낮은 금리
만기 후 1개월 초과 : 현행 보통예금 금리","1)1개월 미만 경과분 : 약정당시의 보통예금 금리
2)1개월 이상 ~ 3개월 미만 경과분 : 약정금리의 50%
3)3개월 이상 ~ 6개월 미만 경과분 : 약정금리의 50%
4)6개월 이상 ~ 24개월 미만 경과분 : 약정금리의 50%
5)24개월 이상 ~ 36개월 미만 경과분 : 약정금리의 50%",Y,"전 금융기관 합산하여 1인당 5,000만원 이내",,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A18,유안타저축은행,A18-00002,정기예금(복리식),6,24개월 이상,30개월 미만,10만원 이상,제한없음,10만원 이상,제한없음,"일정금액을 일정기간을 정하여 저축은행에 예치하고, 예치기간이 만료되었을 때 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (창구 전용상품)",1:영업점,"1:영업점, 7:계좌이체",1,은행수신상품,2:거치식(목돈운용),만기 있음,1:만기일시 지급식,2:복리,,,,,없음,,없음,,4.05,Y,,"만기 후 1개월 이하 : 약정금리와 현행금리 중 낮은 금리
만기 후 1개월 초과 : 현행 보통예금 금리","1)1개월 미만 경과분 : 약정당시의 보통예금 금리
2)1개월 이상 ~ 3개월 미만 경과분 : 약정금리의 50%
3)3개월 이상 ~ 6개월 미만 경과분 : 약정금리의 50%
4)6개월 이상 ~ 24개월 미만 경과분 : 약정금리의 50%
5)24개월 이상 ~ 36개월 미만 경과분 : 약정금리의 50%",Y,"전 금융기관 합산하여 1인당 5,000만원 이내",,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A18,유안타저축은행,A18-00002,정기예금(복리식),7,30개월 이상,36개월 이하,10만원 이상,제한없음,10만원 이상,제한없음,"일정금액을 일정기간을 정하여 저축은행에 예치하고, 예치기간이 만료되었을 때 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (창구 전용상품)",1:영업점,"1:영업점, 7:계좌이체",1,은행수신상품,2:거치식(목돈운용),만기 있음,1:만기일시 지급식,2:복리,,,,,없음,,없음,,3.75,Y,,"만기 후 1개월 이하 : 약정금리와 현행금리 중 낮은 금리
만기 후 1개월 초과 : 현행 보통예금 금리","1)1개월 미만 경과분 : 약정당시의 보통예금 금리
2)1개월 이상 ~ 3개월 미만 경과분 : 약정금리의 50%
3)3개월 이상 ~ 6개월 미만 경과분 : 약정금리의 50%
4)6개월 이상 ~ 24개월 미만 경과분 : 약정금리의 50%
5)24개월 이상 ~ 36개월 미만 경과분 : 약정금리의 50%",Y,"전 금융기관 합산하여 1인당 5,000만원 이내",,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
